hedge,booster,attitude,self-mention,engagement
可能會,實際上,遺憾的是,我們,我們
也許,事實上,必然,筆者,請看
很有可能的是,其實,一定會,本文作者,再看
似乎,確實,從根本上講,我,見後
在很大程度上,的確,實事求是地說,作者,下面分而述之
在某種程度上,尤其是,重要的是,我國,下面詳細探討
在一定程度上,特別是,特別值得一提的是,,先看下面的例句
嘗試,正是,所幸的是,我省,必須
試圖,甚至,重大,我院,應該
如果…就…,當然,緊迫,我的,大家都知道
一般情況下,著重強調,令人… 的,我們的,你覺得
一般而言,需要指出的是,牽動人心的,小編,你
一般,值得一提的是,啊,,你們
往往,嚴格來說,相信,,朋友
幾乎,很明顯,期待,,同事
大致,顯然,希望,,家人們
基本上,明確地,棒,,讓…
恐怕,必須,哦,,一起…
認為,應該,吧,,難道…嗎
可能,無疑,！,,請
希望,尤其,,,向你們表示感謝
如果,顯而易見,,,向你們表示敬意
那麼,特別,,,您
約,最,,,你的
左右,就,,,您的
盡量,堅決,,,你們的
可,一定,,,我們的
少,一直,,,大家
較少,一直都,,,疑問句
非必要,堅信,,,
如,,,,
